,title,link,summary
0,"Coronavirus: UK cases rise to 163, government confirms",https://www.bbc.co.uk/news/uk-51771815,"The number of patients diagnosed in the UK increases by 48, the biggest jump in a single day so far."
1,Coronavirus information: How to stay safe,https://www.bbc.co.uk/news/health-51711227,"Step-by-step, what to do to help prevent the spread of the virus."
2,Coronavirus: Teens arrested over 'racially aggravated' attack,https://www.bbc.co.uk/news/uk-england-london-51771355,"Student Jonathan Mok, from Singapore, was beaten and punched in an attack on Oxford Street, London."
3,Ex-home secretary's invite pulled by university society,https://www.bbc.co.uk/news/uk-england-oxfordshire-51768634,Amber Rudd was given 30 minutes notice that her appearance at Oxford University was cancelled.
4,Kevin Clifton to leave Strictly Come Dancing,https://www.bbc.co.uk/news/entertainment-arts-51767429,"He is to depart after seven years on the BBC One show to ""focus on other areas of my life and career""."
5,Denbighshire crash pair locked up after causing teen's death,https://www.bbc.co.uk/news/uk-wales-51766292,"Olivia Alkir is described by her family as a ""fun-loving, wise, ambitious individual""."
6,One billion Android devices at risk of hacking,https://www.bbc.co.uk/news/technology-51751950,Watchdog Which? wants Google to be more transparent about security updates for old phones
7,Coronavirus: Supermarkets cast doubt on minister's food supply claim,https://www.bbc.co.uk/news/business-51769184,"One executive says the health secretary has ""made up"" claims of ""working with the supermarkets""."
8,Seafood salesman smuggled £53m worth of live eels out of UK,https://www.bbc.co.uk/news/uk-england-london-51770954,Gilbert Khoo was caught after a consignment of the endangered fish was seized at Heathrow Airport.
9,Dubai's Sheikh Mohammed: Ruling is 'step toward' freeing Sheikha Latifa,https://www.bbc.co.uk/news/uk-51773164,"Sheikha Latifa's friend says she feels ""positive"" after a court ruled the princess was abducted by her father."
10,Coronavirus: Visitors steal hand sanitiser gel from hospital,https://www.bbc.co.uk/news/uk-england-northamptonshire-51771584,Visitors to Northampton General Hospital have even ripped hand sanitiser dispensers from walls.
11,Barbara Martin: Original Supremes singer dies aged 76,https://www.bbc.co.uk/news/entertainment-arts-51766812,"Barbara Martin was one of the original members, singing with the pop group in the early 1960s."
12,Quiz of the week: Who's taking Genesis back on the road?,https://www.bbc.co.uk/news/world-51748811,Have you been paying attention to what's been going on during the past seven days?
13,Tourist hot-spots deserted as coronavirus spreads,https://www.bbc.co.uk/news/in-pictures-51768064,A gallery of tourist sites throughout the world affected by the coronavirus outbreak.
14,Sophia Loren: 'Female directors don't yell',https://www.bbc.co.uk/news/entertainment-arts-51750210,"The star extols the virtues of female directors, as she helps curate a list of films for Women's Day."
15,Is it okay to tell a dirty joke at work?,https://www.bbc.co.uk/news/business-51753191,"Almost a third of British men say yes. However, only 16% of their female counterparts agree."
16,Black history: Should it be part of the wider curriculum?,https://www.bbc.co.uk/news/education-51650417,A British education group wants black British history to be taught more widely in England's schools.
17,Alanis Morissette's debut album Jagged Little Pill is 25 years old,https://www.bbc.co.uk/news/entertainment-arts-51763573,It's 25 years since Alanis Morissette's album Jagged Little Pill made her a household name - and to mark the anniversary she's going on tour.
18,Mulletfest winner Rob Ayton learned to love 'ironic' haircut,https://www.bbc.co.uk/news/uk-england-devon-51755463,Rob Ayton used to dislike the much-maligned haircut but is now a prize-winning sporter of the style.
19,Troy Collings: North Korea's 'first budget travel agent' dies aged 33,https://www.bbc.co.uk/news/world-asia-51732244,New Zealander Troy Collings wanted to make North Korea affordable - even for backpackers.
20,Nottingham Trent University study to assess impact of traffic on hedgehogs,https://www.bbc.co.uk/news/uk-england-nottinghamshire-51756873,Hedgehog numbers are declining in part because so many are killed while crossing our roads.
21,The exhibition celebrating the knotty wonder of trees,https://www.bbc.co.uk/news/entertainment-arts-51734825,"The Hayward Gallery invites visitors to ""tree-bathe"" amidst the work of 38 artists."
22,Missing cat reunited with owner after 11 years on the street,https://www.bbc.co.uk/news/uk-england-birmingham-51738246,"Missy, from Birmingham, had been living on the streets almost eight miles from her owner's home."
23,London Underground air used to heat homes above ground,https://www.bbc.co.uk/news/uk-england-london-51749560,The Tube can be unbearably warm at times. But what if all that hot air could be put to good use?
24,"Coronavirus: Should you disinfect your phone, and other questions",https://www.bbc.co.uk/news/world-asia-china-51176409,"How may coronavirus affect children, can it spread via cash, and readers' other questions answered."
25,Riz Ahmed on The Long Goodbye: Why he says 'Britain's broken up with me',https://www.bbc.co.uk/news/entertainment-arts-51697553,The actor and rapper makes an album about being dumped by an abusive lover - his home country.
26,Will Olympics be cancelled because of coronavirus?,https://www.bbc.co.uk/sport/olympics/51756253,BBC sports editor Dan Roan looks at the key questions as the Tokyo 2020 Olympics faces up to the challenges posed by the coronavirus outbreak.
27,AEW wrestling: Singing for my brother's hero 17 years after he died,https://www.bbc.co.uk/news/world-us-canada-51682017,How Liz Rose made her brother proud 17 years after he died by performing Chris Jericho's entrance.
28,The TikTok stars giving diabetes the needle,https://www.bbc.co.uk/news/disability-51726896,They can hula hoop and inject insulin at the same time. Meet the duo who are using social media to destigmatise diabetes.
29,My Money: 'Poor in money but rich in friends',https://www.bbc.co.uk/news/business-51574245,"As part of a BBC blog series, Joy Sterling from Gloucestershire shares what she spent her money on for a week."
30,Electric cars are coming: but where will you recharge?,https://www.bbc.co.uk/news/business-51678830,"Charging points are springing up everywhere, but will there be enough and will the electricity grid be able to cope?"
31,Can Tories and trade unions be friends?,https://www.bbc.co.uk/news/uk-politics-51707579,One Conservative MP is urging the two sides to work together for their own good - and that of the UK.
32,The Scottish roots of Johnny Cash,https://www.bbc.co.uk/news/uk-scotland-51750344,Could Fife become a place of pilgrimage for fans of legendary country star Johnny Cash?
33,The Greenham Common campaigner getting a purple plaque,https://www.bbc.co.uk/news/uk-wales-51755953,Eunice Stallard campaigned for peace and was a founder of the Greenham Common camp.
34,Liverpool's Alisson out of Atletico game with hip injury,https://www.bbc.co.uk/sport/football/51773434,Liverpool goalkeeper Alisson is ruled out of Wednesday's Champions League last-16 second leg against Atletico Madrid with a hip injury.
35,Vunipola exclusion criticised by Public Health England,https://www.bbc.co.uk/sport/rugby-union/51771924,"Public Health England say England's decision to exclude prop Mako Vunipola from their Six Nations match with Wales as a precautionary measure against coronavirus was ""unnecessary""."
36,Have England gone backwards since Women's World Cup?,https://www.bbc.co.uk/sport/football/51763414,"After England women lose their sixth match in nine, BBC Sport asks if the Lionesses have regressed since reaching the World Cup semi-finals."
37,Scotland's Weir poised for first cap under Townsend,https://www.bbc.co.uk/sport/rugby-union/51762504,Worcester Warriors' Duncan Weir returns to Scotland's bench after a three-year absence as Gregor Townsend makes three changes to face France.
38,Dier in 'right frame of mind' to play against Burnley,https://www.bbc.co.uk/sport/football/51771530,"Midfielder Eric Dier is in the ""right frame of mind"" to play for Tottenham in Saturday's fixture against Burnley, following his altercation with a fan."
39,Yung Filly hosts Man City & Man Utd fans in 'Penalties',https://www.bbc.co.uk/sport/av/football/51742226,Yung Filly hosts Manchester City and Manchester United fans in 'Penalties'.
40,Coronavirus: Are people panic-buying?,https://www.bbc.co.uk/news/business-51737030,"As the virus continues to spread, are consumers hoarding certain products, and is it necessary?"
41,Coronavirus symptoms: What are they and how do I protect myself?,https://www.bbc.co.uk/news/health-51048366,"The virus is spreading around the world, but what is it, what are the symptoms and can it be stopped?"
42,'I received death threats for having coronavirus',https://www.bbc.co.uk/news/world-us-canada-51761713,"Carl Goldman, who first contracted the virus on board a cruise ship, urges everyone to stay calm."
43,Coronavirus: Will I get a refund on my ticket if events are cancelled?,https://www.bbc.co.uk/news/explainers-51738687,"Music, sports and other events could be called off because of the coronavirus outbreak."
44,School's out: Parents stressed by Italy coronavirus shutdown,https://www.bbc.co.uk/news/world-europe-51751031,Children being sent home from school and absent tourists leave Italy reeling from coronavirus.
45,Coronavirus: Retailers warned not to 'exploit' consumers' fears,https://www.bbc.co.uk/news/business-51750124,The competition watchdog is monitoring price rises amid reported shortages of hand gels and face masks.
46,"Coronavirus: After James Bond delay, what next for Hollywood's new releases?",https://www.bbc.co.uk/news/entertainment-arts-51750722,"Other major films set to be released this spring include Mulan, Black Widow and Fast & Furious 9."
47,Coronavirus: What misinformation has spread in Africa?,https://www.bbc.co.uk/news/world-africa-51710617,Which claims about the coronavirus are gaining the most traction in Africa?
48,"Coronavirus: Keep it simple, stick to facts - how parents should tell kids",https://www.bbc.co.uk/news/uk-51734855,"Keep the message calm, understandable and try not to overemphasise the risks, experts suggest."
49,Coronavirus: How close are we to a vaccine?,https://www.bbc.co.uk/news/health-51665497,We answer some of the big questions about vaccines and how long one for coronavirus could take.
50,Coronavirus: How to wash your hands - in 20 seconds,https://www.bbc.co.uk/news/health-51754472,Dr Adele McCormick from the University of Westminster demonstrates how to wash your hands.
51,IMF provides $50bn to fight coronavirus outbreak,https://www.bbc.co.uk/news/business-51732459,The move comes after world governments and central banks have taken action to ease the outbreak's impact.
52,Your holiday and travel rights,https://www.bbc.co.uk/news/business-51615412,"With new cases diagnosed around the world every day, how could the outbreak affect travel plans?"
53,Coronavirus: The 'Wuhan shake' or the elbow bump?,https://www.bbc.co.uk/news/world-asia-china-51726440,"If the coronavirus has you worried about shaking hands, here are some novel ways to greet people."
54,Coronavirus: How is the UK planning for an outbreak?,https://www.bbc.co.uk/news/explainers-51632801,What will the government do if there is a major UK coronavirus outbreak and how prepared is the NHS?
55,Coronavirus: Should I self-isolate and how do I do it?,https://www.bbc.co.uk/news/uk-51506729,"From food delivery to getting paid, here's what you need to know about helping stop coronavirus."
56,What are the chances of dying from coronavirus?,https://www.bbc.co.uk/news/health-51674743,The current best guess of a 1% death rate does not apply to everyone.
57,This is how to wash your hands,https://www.bbc.co.uk/news/health-51637561,A virology expert demonstrates how viruses can spread using UV light.
58,How to self-isolate,https://www.bbc.co.uk/news/health-51652874,Five ways to successfully self-isolate to prevent the spread of the virus.
59,Deep listening: Finding common ground with opponents,https://www.bbc.co.uk/news/health-51705369,How deep listening without interruption or judgement can help us find common ground and feel valued.
60,LGBT activists: Using drag queens to unite communities,https://www.bbc.co.uk/news/stories-51706259,Can drag shows bring people together despite nationalist feelings? LGBT activists from Kosovo and Serbia believe they can.
61,Crossing the border to go to school in the US,https://www.bbc.co.uk/news/world-latin-america-51505183,Sixteen-year-old twins Ana Fernanda and Ana Luisa begin their journey from Mexico in the early hours.
62,What happens when a Hindu and Muslim YouTuber meet?,https://www.bbc.co.uk/news/stories-51591410,More young people are turning to social media to explore their faith.
63,Crossing Divides: Why 'cartooning' political opponents is bad for us,https://www.bbc.co.uk/news/world-51387124,"Ignoring stereotypes like ""snowflakes"" and ""gammons"" helps us find common ground, research suggests."
64,Inside the next-gen tech on Waymo’s self-driving Jaguar I-Pace,http://feedproxy.google.com/~r/Techcrunch/~3/eOD-wjfwwfU/,"A little more than two and half years ago, Waymo engineers began working on a hardware sensor suite that would improve upon previous generations and have the capability to work on a variety of vehicles, from self-driving passenger cars to autonomous semi-trucks. The autonomous vehicle technology company is now showing off the fruits of its [&#8230;]"
65,Optimize employee onboarding to better retain top talent,http://feedproxy.google.com/~r/Techcrunch/~3/QugbvaEMuFw/,Gallup found that only 12% of U.S. employers do a great job of employee onboarding — the rest are lackluster or downright bad.
66,Break-even ads can generate free brand awareness,http://feedproxy.google.com/~r/Techcrunch/~3/JkJ5DXmGNF8/,"Typically, your primary goal with an ad channel is to make it profitable. But you shouldn’t necessarily turn off a channel if it’s merely break-even."
67,SaaS companies flirt with correction territory as another wild week comes to a close,http://feedproxy.google.com/~r/Techcrunch/~3/bLoNyGI40UA/,"While SaaS as a cohort isn't having a very good time lately, there are still outlier valuations available for stand-out companies in the category."
68,"Kleiner’s new fund, Atrium is kaput, and the latest data on seed rounds",http://feedproxy.google.com/~r/Techcrunch/~3/I0_nyGCLPv4/,"Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast, where we unpack the numbers behind the headlines. This week was packed with news, most of it pretty bad. But Zoom did well, so there&#8217;s that. Happily we had our dynamic pairing, Alex &#8220;Have I Died&#8221; Wilhelm and Danny &#8220;Good Hair&#8221; Crichton on hand to parse [&#8230;]"
69,Airbnb and three other P2P rental platforms agree to share limited pan-EU data,http://feedproxy.google.com/~r/Techcrunch/~3/IKK4CXfcxeA/,"The European Commission announced yesterday it&#8217;s reached a data-sharing agreement with vacation rental platforms Airbnb, Booking.com, Expedia Group and Tripadvisor &#8212; trumpeting the arrangement as a &#8220;landmark agreement&#8221; which will allow the EU&#8217;s statistical office to publish data on short-stay accommodations offered via these platforms across the bloc. It said it wants to encourage &#8220;balanced&#8221; [&#8230;]"
70,India’s Yes Bank breakdown disrupts Walmart’s PhonePe among a dozen other services,http://feedproxy.google.com/~r/Techcrunch/~3/kv8QKGW0tsE/,"Tens of millions of merchants and users in India are struggling to make online transactions and use several popular services after the nation’s central bank seized control of Yes Bank, the fourth largest lender in the country. The emergency takeover of the private sector bank has taken off several financial startups that rely on it [&#8230;]"
71,Greece’s Convert Group raises €1.2M to bring e-commerce visibility to FMCG,http://feedproxy.google.com/~r/Techcrunch/~3/Df_rhNLw2nE/,"Convert Group, a startup based in Athens that offers a SaaS to help FMCG (fast-moving consumer goods) brands understand how they are performing across e-commerce, has raised €1.2 million in seed funding. The investment comes from Uni.fund, which is backed by the EquiFund investment platform (an initiative created by cooperation between the Hellenic Republic and [&#8230;]"
72,"Mark Cuban backs ChatableApps, developer of a hearing assist app that removes background noise",http://feedproxy.google.com/~r/Techcrunch/~3/SewsxApv3iU/,"ChatableApps, a U.K. startup commercialising the work of auditory neural signal processing researcher Dr. Andy Simpson, has quietly picked up seed money from Mark Cuban. The company has built a smartphone app that provides hearing assistance by removing background noise in near real-time. Alongside Simpson, the company&#8217;s co-founders are Brendan O’Driscoll, Aidan Sliney and George [&#8230;]"
73,Microsoft will pay hourly workers regular wages even if their hours are reduced because of COVID-19 concerns,http://feedproxy.google.com/~r/Techcrunch/~3/4toHVv9BuCE/,"As more COVID-19 cases are identified in the United States, some companies are asking employees to work from home if possible. But that impacts the jobs of people who work in on-site operations, including many who are paid by the hour. Today Microsoft said that it will continue paying all vendor hourly service providers in [&#8230;]"
74,"Spindrift, maker of fizzy drinks, has raised $29.8 million",http://feedproxy.google.com/~r/Techcrunch/~3/lokiBTL3NWk/,"Spindrift, maker of fizzy soda and sparkling water, has raised $29.8 million in a funding round, per an SEC filing. The Charlestown, Mass. company was founded by Bill Creelman and has raised $70 million in known venture capital funding to date, per Crunchbase data. The company did not immediately respond to request for comment.  Previous [&#8230;]"
75,"Axiom Space pitches its first 10-day, all-inclusive trip to the ISS for just $55 million",http://feedproxy.google.com/~r/Techcrunch/~3/xdtPitHvQKg/,"Axiom Space is looking to make history by sending three passengers on a round-trip journey to the International Space Station for the low, low price of $55 million. The Houston -based, venture-backed company has signed a contract with SpaceX for a Crew Dragon flight which will transport a commander trained by Axiom along with three [&#8230;]"
76,Mobile banking app Empower Finance just closed a $20 million Series A round,http://feedproxy.google.com/~r/Techcrunch/~3/xg37iLfn3xM/,"Another afternoon, another round of funding for a mobile banking app. This time, it&#8217;s Empower Finance, a San Francisco-based company that&#8217;s headed up by former Sequoia Capital partner Warren Hogarth and which just closed on $20 million in Series A funding from Icon Ventures and Defy Ventures. David Velez, who is the founder and CEO [&#8230;]"
77,Pex buys Dubset to build YouTube ContentID for TikTok & more,http://feedproxy.google.com/~r/Techcrunch/~3/IaoYDQ84hk4/,"Social networks are in for a rude copyright awakening. A new European Union law called Article 17 essentially eradicates safe harbor and requires that they&#8217;ve made their &#8220;best effort&#8221; to get licenses from rights holders for all content on their platform. If a user uploads a video with a popular song in the background, tech [&#8230;]"
78,Nvidia acquires data storage and management platform SwiftStack,http://feedproxy.google.com/~r/Techcrunch/~3/VOOouoPHYx8/,"Nvidia today announced that it has acquired SwiftStack, a software-centric data storage and management platform that supports public cloud, on-premises and edge deployments. The company&#8217;s recent launches focused on improving its support for AI, high-performance computing and accelerated computing workloads, which is surely what Nvidia is most interested in here. &#8220;Building AI supercomputers is exciting [&#8230;]"
79,"Stocks fell sharply today, bringing yet more unwelcome volatility to tech shares",http://feedproxy.google.com/~r/Techcrunch/~3/RcrJeZoJ-kw/,"Are you tired of TechCrunch reporting on the daily stock market gyrations? Well, we&#8217;re tired of writing about them. And yet here we are, because stonks yet again did wild things that we have to talk about. Markets are still skittish about the effect the rapidly spreading novel coronavirus, COVID-19, will have on the economy. [&#8230;]"
80,Etsy’s 2-year migration to the cloud brought flexibility to the online marketplace,http://feedproxy.google.com/~r/Techcrunch/~3/_86ont3Usfg/,"Founded in 2005, Etsy was born before cloud infrastructure was even a thing. As the company expanded, it managed all of its operations in the same way startups did in those days — using private data centers. But a couple of years ago, the online marketplace for crafts and vintage items decided to modernize and [&#8230;]"
