,title,link,summary
0,Coronavirus: Up to fifth of UK workers 'could be off sick at same time',https://www.bbc.co.uk/news/uk-51718917,"Non-urgent NHS care may be delayed if the coronavirus outbreak worsens, the government says, as the number of UK cases rises to 51."
1,US election 2020: Joe Biden boosted on Super Tuesday,https://www.bbc.co.uk/news/world-us-canada-51716348,Moderate Democrats rally around Joe Biden in the contest to find who will take on President Trump.
2,"'My husband stole £300,000 to fund his gambling habit'",https://www.bbc.co.uk/news/uk-51714203,Becky says there's not enough support for the families of people with gambling addictions.
3,Caroline Flack press petition delivered to government,https://www.bbc.co.uk/news/entertainment-arts-51710897,Campaigners are calling for a law that would make media bullying and harassment a criminal offence.
4,Coronavirus: Greggs 'would pay staff who need to self-isolate',https://www.bbc.co.uk/news/business-51718074,"The sandwich chain had an ""exceptional"" 2019, but cautions that coronavirus could hurt this year's sales."
5,Russia's Putin wants traditional marriage and God in constitution,https://www.bbc.co.uk/news/world-europe-51719764,Russia's revised basic law would define marriage as a heterosexual union and include faith in God.
6,Tommy Robinson charged over Center Parcs swimming pool assault,https://www.bbc.co.uk/news/uk-england-beds-bucks-herts-51719838,"Stephen Yaxley-Lennon is charged after an ""altercation"" at the upmarket holiday camp, police say."
7,Labour: Party 'braced for losses' in May's council elections,https://www.bbc.co.uk/news/uk-politics-51709639,"The party faces ""one of its worst"" performances in recent history in May, internal research suggests."
8,Spain plans 'only yes means yes' rape law,https://www.bbc.co.uk/news/world-europe-51718397,The reform to Spain's controversial rape laws focus on the importance of sexual consent.
9,Domestic abuse: Lie-detector tests planned for offenders,https://www.bbc.co.uk/news/uk-politics-51709638,"Tests will be used to find out whether serious offenders should be returned to jail, under a new law."
10,Bafta Games Awards: Death Stranding and Control lead nominations,https://www.bbc.co.uk/news/newsbeat-51718764,Both games received 11 nominations - more than any other game in Bafta's history.
11,Hamsters found stuffed in takeaway boxes in Darlington re-homed,https://www.bbc.co.uk/news/uk-england-tees-51723576,The 20 abandoned hamsters were only spotted when a dog sniffed the boxes which alerted its owner.
12,What is Super Tuesday and how does it work?,https://www.bbc.co.uk/news/world-us-canada-51581001,Fourteen states will pick who they want to run against Trump. We may soon know the likely nominee.
13,Coronavirus: Iran holy-shrine-lickers face prison,https://www.bbc.co.uk/news/blogs-trending-51706021,Two men face jail in Iran for licking holy shrines in defiance of coronavirus health warnings.
14,Harry Billinge: Cornwall D-Day veteran appointed MBE,https://www.bbc.co.uk/news/uk-england-cornwall-51718416,"Harry Billinge, 94, raised more than £25,000 towards the cost of building a national memorial."
15,LGBT activists: Using drag queens to unite communities,https://www.bbc.co.uk/news/stories-51706259,Can drag shows bring people together despite nationalist feelings? LGBT activists from Kosovo and Serbia believe they can.
16,Bishop Auckland: 'My dream cafe to revive high street',https://www.bbc.co.uk/news/business-51709627,Local entrepreneur Martin Wiseman talks about his dream of building a cafe that will help to revive Bishop Auckland's high street.
17,Half-Life: Alyx - Hands on with Valve's virtual reality game-changer,https://www.bbc.co.uk/news/technology-51709250,"After a long wait, the highly-anticipated sequel is about to launch - and could be VR's killer app."
18,How to find stricken kangaroos in Australian wildfires,https://www.bbc.co.uk/news/world-australia-51712552,Aerial cinematographer Douglas Thron is using his infrared-equipped drone to find animals in the aftermath of the Australian wildfires.
19,Greek coast guards fire into sea near migrant boat,https://www.bbc.co.uk/news/world-europe-51715422,The dinghy was also shoved around with boats by coast guards trying to force it back towards Turkey.
20,The multimillionaire's plan to reinvent a town,https://www.bbc.co.uk/news/business-51648556,"Town centres across the UK are suffering, but Bishop Auckland's fortunes could be about to change."
21,Pretty Woman: West End debut gets mixed reviews,https://www.bbc.co.uk/news/entertainment-arts-51705574,The show has transferred to the West End after a successful Broadway run.
22,Choppy waters of Brexit threaten Danish fishing,https://www.bbc.co.uk/news/world-europe-51707962,Denmark warns the UK that bigger catches in UK waters may not mean bigger sales to the EU.
23,Climate anxiety: Survey for BBC Newsround shows children losing sleep over climate change and the environment,https://www.bbc.co.uk/newsround/51451737,Exclusive survey for BBC Newsround on climate anxiety shows young people losing sleep over climate change and lacking trust that adults will fix it.
24,Steroids at 16: South Africa's schoolboy rugby scene faces a widespread doping problem,https://www.bbc.co.uk/sport/rugby-union/50785122,Doping in South African schoolboy rugby is casting a shadow over the whole sport. Salmon van Huyssteen's story is just one chapter.
25,Why hasn’t AI changed the world yet?,https://www.bbc.co.uk/news/business-51632840,"Self-driving cars, robot surgeons: artificial intelligence promises a lot, but what has it delivered?"
26,Bloodhound car: A month to save land speed record project,https://www.bbc.co.uk/news/science-environment-51715582,The UK-led bid to break the world land speed record is under threat again - it needs to find £8m.
27,From Prince to Megan Thee Stallion: When record contracts go wrong,https://www.bbc.co.uk/news/entertainment-arts-51704533,Megan Thee Stallion and Juicy J have fallen out with their record labels - and they're not the first.
28,England's Vunipola self-isolating as coronavirus precaution,https://www.bbc.co.uk/sport/rugby-union/51721889,England prop Mako Vunipola has gone into self-isolation as a coronavirus precaution and will not face Wales in the Six Nations on Saturday.
29,Olympics 'could be postponed' until later in year,https://www.bbc.co.uk/sport/olympics/51717839,Japan's Olympic minister says the Tokyo 2020 games could be postponed from the summer until later in the year amid fears over the coronavirus outbreak.
30,England faced with prospect of semi-final washout and World Cup elimination,https://www.bbc.co.uk/sport/cricket/51718018,"England could be eliminated from the Women's T20 World Cup without a ball being bowled, with heavy rain forecast for their semi-final on Thursday."
31,A fourth Fury v Wilder? What about Joshua? Your questions answered...,https://www.bbc.co.uk/sport/boxing/51713313,How good are the current heavyweights? Which belt means most? Mike Costello and Steve Bunce have the answers.
32,'For now it is business as usual' - football authorities hold coronavirus talks,https://www.bbc.co.uk/sport/football/51718945,Football authorities hold talks with the UK government and public health experts over contingency plans to play matches behind closed doors if the coronavirus outbreak escalates.
33,Quarantined riders 'held against their will' in UAE and treated 'like plague victims',https://www.bbc.co.uk/sport/cycling/51719324,"Cofidis riders are being ""held against their will"" and ""treated like plague victims"" in the United Arab Emirates, says team president Thierry Vittu"
34,What is coronavirus and what are the symptoms?,https://www.bbc.co.uk/news/health-51048366,"The virus is spreading around the world, but what is it, how can we be protected and can it be stopped?"
35,Coronavirus: How is the UK planning for an outbreak?,https://www.bbc.co.uk/news/explainers-51632801,What will the government do if there is a major UK coronavirus outbreak and how prepared is the NHS?
36,Coronavirus: Do face masks work? And other questions answered,https://www.bbc.co.uk/news/uk-51714133,The BBC's Fergus Walsh and expert Sian Griffiths answer your questions about the virus outbreak.
37,Coronavirus: Should I self-isolate and how do I do it?,https://www.bbc.co.uk/news/uk-51506729,"From food delivery to getting paid, here's what you need to know about helping stop coronavirus."
38,Coronavirus: Where are we with a vaccine?,https://www.bbc.co.uk/news/health-51665497,We answer some of the big questions about vaccines and how long one for coronavirus could take.
39,What are the chances of dying from coronavirus?,https://www.bbc.co.uk/news/health-51674743,The current best guess of a 1% death rate does not apply to everyone.
40,This is how to wash your hands,https://www.bbc.co.uk/news/health-51637561,A virology expert demonstrates how viruses can spread using UV light.
41,How to self-isolate,https://www.bbc.co.uk/news/health-51652874,Five ways to successfully self-isolate to prevent the spread of the virus.
42,A visual guide to the outbreak,https://www.bbc.co.uk/news/world-51235105,Key maps and charts explaining how the respiratory virus has spread and how it is being dealt with.
43,Amazon makes its same-day delivery service faster in select U.S. cities,http://feedproxy.google.com/~r/Techcrunch/~3/KQWOWeHkRbc/,"Amazon this morning announced another step it&#8217;s taken to speed up same-day deliveries. The company has installed what it&#8217;s calling &#8220;mini-fulfillment centers&#8221; closer to where customers live in select U.S. markets, including Philadelphia, Phoenix, Orlando, and Dallas. The new facilities allow Amazon to reduce same-day delivery times down to just a few hours for Prime [&#8230;]"
44,Brooklinen raises $50M to open more stores and expand internationally,http://feedproxy.google.com/~r/Techcrunch/~3/WFFFLu2o_Vg/,"Brooklinen, a startup that sells bedding and other home goods online, has raised $50 million in new funding from growth equity firm Summit Partners. Recent headlines are spurring bigger questions about the direct-to-consumer retail business, with Blue Apron exploring a potential sale and Casper also disclosing disappointing growth and persistent losses. Co-founder and CEO Rich [&#8230;]"
45,Sensel raises a $28M Series A to bring pressure sensing tech to more mobile devices,http://feedproxy.google.com/~r/Techcrunch/~3/lIGxoNvhnhY/,"I was honestly a surprised to find out from Sensel that the company is only just recently raising its Series A. The Sunnyvale-based hardware startup has been around since 2013, bringing its first product, the modular music and computing Morph peripheral, to market a few years back. Over the past few years, however, the company’s [&#8230;]"
46,Ampere launches new chip built from ground up for cloud workloads,http://feedproxy.google.com/~r/Techcrunch/~3/j4lEin8ob4I/,"Ampere, the chip startup run by former Intel President Renee James, announced a new chip today that she says is designed specifically to optimize for cloud workloads. Ampere VP of product Jeff Wittich says the new chip is called the Ampere Altra, and it&#8217;s been designed with some features that should make it attractive to [&#8230;]"
47,Datastax acquires The Last Pickle,http://feedproxy.google.com/~r/Techcrunch/~3/EVLcYSydZi4/,"Data management company Datastax, one of the largest contributors to the Apache Cassandra project, today announced that it has acquired The Last Pickle (and no, I don&#8217;t know what&#8217;s up with that name either), a New Zealand-based Cassandra consulting and services firm that&#8217;s behind a number of popular open-source tools for the distributed NoSQL database. [&#8230;]"
48,DocSend’s new pre-seed data shows how many founders you should have and how many investors you should meet,http://feedproxy.google.com/~r/Techcrunch/~3/gvFLHpP6wz0/,"DocSend has become one of the most popular tools for sharing venture fundraise decks, not only because of the control it offers, but also because of the analytics it can provide founders on how VCs read decks and where they might get stuck as they are perusing from slide to slide. The company has been [&#8230;]"
49,"Shasta Ventures debuts ‘Ignite,’ a collection of help and services to drive its startups to $10M ARR",http://feedproxy.google.com/~r/Techcrunch/~3/Xzv9Abg2zcc/,"Shasta Ventures, a venture capital firm that has raised more than a half-dozen funds in its life, announced a new program this morning designed to help its portfolio companies scale to $10 million of annual recurring revenue (ARR) from $1 million ARR or less. The project, a collection of workshops, in-person help and more, called [&#8230;]"
50,Honeywell says it will soon launch the world’s most powerful quantum computer,http://feedproxy.google.com/~r/Techcrunch/~3/kSHlwmNfPBM/,"&#8220;The best-kept secret in quantum computing.&#8221; That&#8217;s what Cambridge Quantum Computing (CQC) CEO Ilyas Khan called Honeywell&#8216;s efforts in building the world&#8217;s most powerful quantum computer. In a race where most of the major players are vying for attention, Honeywell has quietly worked on its efforts for the last few years (and under strict NDA&#8217;s, [&#8230;]"
51,"Valued at $10B, Nubank launches it’s Nu credit card in Mexico",http://feedproxy.google.com/~r/Techcrunch/~3/2wPUoAystR4/,"Nubank, the Brazilian digital bank valued at $10 billion, is launching its Nu credit card in Mexico – a country where the unbanked population counts 36 million people.  The Sao Paulo-based fintech company, known for its fully-mobile digital bank and credit card, has raised $820 million across seven rounds of investment and has amassed nearly [&#8230;]"
52,"RTP Global outs new $650M early-stage fund to back tech in US, Europe, India and South-East Asia",http://feedproxy.google.com/~r/Techcrunch/~3/yW45Doza8uw/,"RTP Global, the VC firm founded by Russian entrepreneur and investor Leonid Boguslavsky, is announcing a new $650 million fund to continue backing early-stage tech startups, primarily at Series A but also some late seed deals and Series B. Of note, the VC&#8217;s last fund was launched in December 2017 and totalled $200 million, so [&#8230;]"
53,"iPrice, a platform for comparison shopping in Southeast Asia, raises $10 million Series B",http://feedproxy.google.com/~r/Techcrunch/~3/-LtlxpF9ZVM/,"iPrice Group, which helps comparison shoppers in Southeast Asia by pulling together prices from different e-commerce platforms, has closed a $10 million Series B. Led by ACA Investments, the round also included participation from Daiwa PI Partners and returning investors Line Ventures, Mirae Asset-Naver and Asia Growth Fund. The company’s last funding announcement, from Line&#8217;s [&#8230;]"
54,Le Wagon raises $19M to build a global coding bootcamp,http://feedproxy.google.com/~r/Techcrunch/~3/1feKQzBcBQU/,"French startup Le Wagon has raised its first round of funding after many years of bootstrapping. The company closed a $19 million funding round (€17 million) a few months ago. Cathay Capital is leading the round with AfricInvest also participating. “We’ve always bootstrapped since 2013, and we’ve always been profitable since day one,” Le Wagon [&#8230;]"
55,New York’s Governor Cuomo requires insurers to waive cost sharing for COVID-19 tests,http://feedproxy.google.com/~r/Techcrunch/~3/_fweysKXJ4k/,"In a move that other states might want to emulate, New York State Governor Andrew M. Cuomo said that the state&#8217;s Department of Financial Services is requiring health insurers in the state to waive cost sharing associated with testing for the new coronavirus, COVID-19. The initiative paves the way for low-cost emergency room, urgent care, [&#8230;]"
56,MWM raises $55.9M after generating 400 million music app downloads,http://feedproxy.google.com/~r/Techcrunch/~3/vtsoTgd3hdw/,"Popular music app publisher MWM has raised a $55.9 million (€50 million) funding round. Blisce/ is leading the round with Idinvest Partners, Bpifrance (Large Venture fund), Aglaé Ventures and Xavier Niel also participating. Some of MWM’s apps include edjing Mix, Beat Maker Pro, Drum Machine, Beat Snap 2, TaoMix 2, and Guitar and Drums. The [&#8230;]"
57,Legal services giant Epiq Global offline after ransomware attack,http://feedproxy.google.com/~r/Techcrunch/~3/jcBihKceMkc/,"Legal services giant Epiq Global has been hit by a ransomware attack. The company, which provides legal counsel and administration that counts banks, credit giants, and governments as customers, confirmed the attack hit on February 29. &#8220;As part of our comprehensive response plan, we immediately took our systems offline globally to contain the threat and [&#8230;]"
58,Robinhood suffers prolonged outage on the day the Dow enjoyed its biggest point gain since 2009,http://feedproxy.google.com/~r/Techcrunch/~3/jiE_okgvYeI/,"Robinhood, the startup with a stock trading app valued upwards of at least $7.6 billion, suffered one of its worst outages on one of the busiest trading days of the year. As the Dow Jones Industrial Average enjoyed the single biggest point gain since 2009, Robinhood&#8217;s application fell prey to an error that locked users [&#8230;]"
59,Sonantic scores €2.3M funding to bring ‘human-quality’ artificial voices to games,http://feedproxy.google.com/~r/Techcrunch/~3/R3KbAUi20DY/,"Sonantic, a U.K. startup that has developed &#8220;human-quality&#8221; artificial voice technology for the games and entertainment industry, has raised €2.3 million in funding. Leading the round is EQT Ventures, with participation from existing backers, including Entrepreneur First (EF), AME Cloud Ventures and Bart Swanson of Horizons Ventures. I also understand one of the company&#8217;s earlier [&#8230;]"
60,"Google cancels Cloud Next because of coronavirus, goes online-only",http://feedproxy.google.com/~r/Techcrunch/~3/YIyTSeiFzp8/,"Google today announced that it is canceling the physical part of Cloud Next, its cloud-focused event and its largest annual conference by far with around 30,000 attendees, over concerns around the current spread of COVID-19. Given all of the recent conference cancellations, this announcement doesn&#8217;t come as a huge surprise, especially after Facebook canceled its [&#8230;]"
61,Connie Chan of Andreessen Horowitz discusses consumer tech’s winners and losers,http://feedproxy.google.com/~r/Techcrunch/~3/adp7OlHIiEY/,"Last week, I sat down with Connie Chan, a general partner with Andreessen Horowitz who focuses on investing in consumer tech. She joined the firm in 2011 after working at HP in China. From her temporary offices located in a modest skyscraper with unobscured views of San Francisco, we talked about where she sees the [&#8230;]"
62,Aurora VP Jinnah Hosein is coming to TC Sessions: Robotics + AI,http://feedproxy.google.com/~r/Techcrunch/~3/y-nZmSPyN_I/,"TechCrunch Sessions: Robotics + AI is tomorrow and we have one more exciting speaker announcement to share. Jinnah Hosein, the vice president of software engineering at self-driving vehicle startup Aurora, is coming to TC Sessions: Robotics + AI at UC Berkeley on March 3. Hosein will join Ike Robotics CTO and co-founder Jur van den Berg [&#8230;]"
