,title,link,summary
17,Корона вирусом заражено више од сто хиљада људи у свету,http://www.politika.rs/scc/clanak/449371/Korona-virusom-zarazeno-vise-od-sto-hiljada-ljudi-u-svetu,"Епидемијолог Габријел Леунг, шеф катедре за јавно здравство са Универзитета у Хонг Конгу, стручни саветник Светске здравствене организације (СЗО), одржао је конференцију за штампу на којој је епидемију коронавирусом упоредио са..."
18,Жеља добротвора испуњена након 116 година,http://www.politika.rs/scc/clanak/449369/Zelja-dobrotvora-ispunjena-nakon-116-godina,"Смедерево – Вишедеценијска неправда према смедеревском добротвору Дини Манчићу и његовој супрузи Љубици исправљена је недавно, током реконструкције гимназије, за чију су градњу тестаментом завештали део свога имања с кафаном..."
19,Обрачун са Јашаријем је био увод у рат на Космету,http://www.politika.rs/scc/clanak/449370/Obracun-sa-Jasarijem-je-bio-uvod-u-rat-na-Kosmetu,"Ових дана навршава се 22&nbsp;године&nbsp;од разбијања групе ОВК коју је у Дреници предводио Адем Јашари, односно сукоба МУП-а са сепаратистима који је, показаће се, означио ескалацију оружане побуне на Косову и Метохији. ОВК се..."
20,Srbija mora da sprovede presudu suda u Strazburu iz 2013. o nestalim bebama,http://rs.n1info.com/Vesti/a575610/Srbija-mora-da-sprovede-presudu-suda-u-Strazburu-iz-2013.-o-nestalim-bebama.html,"Srbija mora da sprovede presudu Evropskog suda za ljudska prava iz 2013. godine u predmetu ""Zorica Jovanović protiv Srbije"", u vezi s navodima o bebama nestalim iz porodilišta, i da najkasnije do 1. oktobra 2020. godine dostavi sveobuhvatne informacije o tome, odlučio je Komitet ministara Saveta Evrope."
21,"Mihnjak o Zakonu: Što više teče vreme, sve je više oštećenih mama",http://rs.n1info.com/Vesti/a575604/Mihnjak-o-Zakonu-o-podrsci-porodici-Kako-tece-vreme-sve-je-vise-ostecenih-mama.html,"Jasmina Mihnjak sa portala Bebac ocenila je u Danu uživo, govoreći o Zakonu o finansijskoj podršci porodici s decom, da su roditelji ""besni i revoltirani"". ""U julu će deca koja su rođena kada je Zakon stupio na snagu napuniti dve godine. Mi smo sugerisali sve manjkavosti ovog Zakona odmah, a i dalje ništa nije izmenjeno. Što više teče vreme, sve je više oštećenih mama"", kaže ona."
22,Patrijarh Irinej: Narod ne može da se pomiri sa tim da Kosovo bude izvan Srbije,http://rs.n1info.com/Vesti/a575598/Patrijarh-Irinej-Narod-ne-moze-da-se-pomiri-sa-tim-da-Kosovo-bude-izvan-Srbije.html,"Patrijarh srpski Irinej kazao je da srpski narod ne može da se pomiri sa tim da Kosovo bude izvan Srbije i da to, kako je naveo, ""u našu glavu ne može da uđe""."
23,Japanci razvijaju lek za COVID-19 iz krvne plazme,http://rs.n1info.com/Zdravlje/a575522/Japanci-rade-na-leku-za-COVID-19.html,"Japanska farmaceutska kompanija ""Takeda Pharmaceutical"" objavila je da razvija lek za COVID-19 izdvojen iz krvne plazme, dodajući da pregovara sa vlastima u Evropi, SAD-u i Aziji o saradnji na ovom istraživanju."
24,Greta Tunberg predvodila protest mladih za klimu u Briselu,http://rs.n1info.com/Svet/a575606/Greta-Tunberg-predvodila-protest-mladih-za-klimu-u-Briselu.html,"Nekoliko stotina ljudi je u petak u Briselu održalo protest za klimu na poziv organizacije ""Mladi za klimu"" (Youth for Climate) uz učešće švedske aktivistkinje Grete Tunberg."
25,Đoković podržao proteste SPC protiv Zakona o slobodi veroispovesti u Crnoj Gori,http://rs.n1info.com/Region/a575600/Djokovic-podrzao-proteste-SPC-protiv-Zakona-o-slobodi-veroispovesti-u-Crnoj-Gori.html,Prvi teniser sveta Novak Đoković podržao je u petak proteste Srpske pravoslavne crkve protiv Zakona o slobodi veroispovesti kojim crnogorska vlada želi da reši pitanje vlasništva nad verskim objektima u toj zemlji.
26,Treći slučaj zaraze koronavirusom u BiH,http://rs.n1info.com/Region/a575596/Treci-slucaj-zaraze-koronavirusom-u-BiH.html,"Potvrđen je i treći slučaj zaraze koronavirusom u Republici Srpskoj, saopšteno je iz Instituta za javno zdravstvo RS."
